href	infobox
Aziz-ul-Rahman_Usmani	True
Aziz_al-Hasan_Ghouri	True
Azizul_Haque_(scholar)	True
B._B._Warfield	True
B._F._Skinner	True
B._R._Ambedkar	True
B._W._Powe	True
Ba_Jin	True
Babette_Babich	True
Babylonian_astronomy	True
Badr_al-Din_Hasan_Ibn_Hud	True
Badr_al-Din_al-Ayni	True
Baha'_al-Din_Naqshband	True
Baha'_al-din_al-'Amili	True
Bahauddin_Zakariya	True
Baháʼí	True
Bal_Gangadhar_Tilak	True
Balduin_Schwarz	True
Balım_Sultan	True
Bankei_Yōtaku	True
Banū_Mūsā	True
Baptist_Union_in_the_Czech_Republic	True
Barack_Obama	True
Barante	True
Barbara_Branden	True
Barbara_Frank	True
Barbara_Herman	True
Barney_Glaser	True
Baron_d'Holbach	True
Barrington_Moore_Jr.	True
Barry_Cooper_(political_scientist)	True
Barry_Loewer	True
Barry_Long	True
Barry_Sanders_(professor)	True
Barry_Smith_(ontologist)	True
Barry_Wellman	True
Barthélemy-Prosper_Enfantin	True
Barthélemy_de_Laffemas	True
Bartolomeo_Panizza	True
Baruch_Spinoza	True
Bas_van_Fraassen	True
Basil_Montagu	True
Basil_of_Caesarea	True
Bayazid_Bastami	True
Bede	True
Bede_Rundle	True
Bedouin	True
Beelzebub's_Tales_to_His_Grandson	True
Bell_hooks	True
Ben_Bernanke	True
Ben_Woodard	True
Benedetto_Croce	True
Benedict_Anderson	True
Benito_Mussolini	True
Benjamin_Anderson	True
Benjamin_Barber	True
Benjamin_Constant	True
Benjamin_Disraeli	True
Benjamin_Franklin	True
Benjamin_Jowett	True
Benjamin_Kidd	True
Benjamin_Peirce	True
Benjamin_Thompson	True
Benjamin_Tucker	True
Benno_Erdmann	True
Benno_Kerry	True
Benny_Lévy	True
Benoit_Mandelbrot	True
Benoît_Paul_Émile_Clapeyron	True
Benoît_Peeters	True
Benton_Johnson	True
Ber_Borochov	True
Berengar_of_Tours	True
Berl_Katznelson	True
Berlin_Circle	True
Bernard-Henri_Lévy	True
Bernard_Aspe	True
Bernard_Bolzano	True
Bernard_Bosanquet_(philosopher)	True
Bernard_Charbonneau	True
Bernard_DeVoto	True
Bernard_Gert	True
Bernard_Ginsborg	True
Bernard_Katz	True
Bernard_Kettlewell	True
Bernard_Lonergan	True
Bernard_Mandeville	True
Bernard_McGinn_(theologian)	True
Bernard_Palissy	True
Bernard_Philip_Kelly	True
Bernard_Ramm	True
Bernard_Stiegler	True
Bernard_Williams	True
Bernard_of_Clairvaux	True
Bernardino_Telesio	True
Bernardus_Silvestris	True
Bernhard_Duhm	True
Bernhard_Riemann	True
Bernhard_von_Gudden	True
Bertolt_Brecht	True
Bertram_Brooker	True
Bertrand_Russell	True
Bertrand_de_Jouvenel	True
Bertrando_Spaventa	True
Beryl_Smalley	True
Bessarion	True
Betty_Friedan	True
Beverly_Wildung_Harrison	True
Bhagat_Singh	True
Bhakti	True
Bhaskar_Sunkara	True
Bhikhu_Parekh	True
Bias_of_Priene	True
Bible	True
Bill_Bright	True
Bill_Gates	True
Bill_Moyers	True
Billy_Graham	True
Bion_of_Borysthenes	True
Biosemiotics	True
Bismil_Azimabadi	True
Bjorn_Thomassen	True
Björn_M._Ólsen	True
Blaise_Pascal	True
Bob_Black	True
Bob_Jessop	True
Bobby_Seale	True
Boethius	True
Boethius_of_Dacia	True
Bolesław_Prus	True
Bonaventure	True
Bonnie_Mann	True
Bono	True
Book_of_Job	True
Book_of_Rites	True
Borden_Parker_Bowne	True
Boris_Karvasarsky	True
Boris_Mouravieff	True
Botho_Strauss	True
Božidar_Debenjak	True
Brad_Hooker	True
Bradford_Keeney	True
Brand_Blanshard	True
